ContainerID,cycle_duration_days,Avg_Dist,Spearman,collection_fill_percentage,avg_daily_fill_growth,overflow_flag
10037,39,84.85,62.66459742545772,64.5,1.6538461538461537,0
10037,14,97.65,72.8927508594325,62.0,4.428571428571429,0
10037,35,72.84848484848484,39.52605519032324,76.5,2.1857142857142855,0
10037,21,92.94736842105264,86.02187526506285,62.0,2.9523809523809526,0
10037,14,92.33333333333331,80.87523726832197,83.5,5.964285714285714,1
10037,35,87.28,66.45743940211185,66.5,1.9,0
10037,18,81.25,65.10184788946424,45.0,2.5,0
10037,28,90.8095238095238,77.71951865249316,90.5,3.232142857142857,1
10037,17,97.5,82.0958209447198,100.0,5.882352941176471,1
10037,28,69.73913043478261,65.59339250926098,73.0,2.607142857142857,0
10037,18,77.32608695652173,87.76388492254209,74.0,4.111111111111111,0
10037,29,93.23529411764706,89.47517175336121,100.0,3.4482758620689653,1
10037,27,91.04651162790698,73.89293054734458,72.5,2.685185185185185,0
10037,35,78.65625,81.82736068995177,70.5,2.0142857142857142,0
10037,22,93.45833333333331,75.28888047900388,63.0,2.8636363636363638,0
10037,13,74.05263157894737,58.31180296238768,58.0,4.461538461538462,0
10073,0,87.6,31.976750812120773,64.0,inf,0
10073,17,76.92380952380952,56.26786159843002,36.5,2.1470588235294117,0
10073,45,68.9468085106383,67.51224977085968,100.0,2.2222222222222223,1
10073,63,54.013333333333335,72.80710478642459,71.0,1.126984126984127,0
10073,59,84.39024390243902,69.355866395979,67.5,1.1440677966101696,0
10073,36,75.20338983050847,64.09995929073655,15.0,0.4166666666666667,0
10073,45,84.0,63.9122680921667,79.0,1.7555555555555555,0
10073,7,79.3076923076923,-5.678284929289601,53.0,7.571428571428571,0
10073,19,82.44444444444444,22.786635759382495,62.0,3.263157894736842,0
10073,3,95.88372093023256,88.64711409223234,57.0,19.0,0
10073,42,90.5909090909091,57.18196756226867,36.0,0.8571428571428571,0
10073,20,90.89655172413794,81.44796066510112,55.5,2.775,0
10073,53,78.65625,48.62941612476024,37.5,0.7075471698113207,0
10073,22,100.0,57.735026918962575,53.0,2.409090909090909,0
10073,6,80.22727272727272,-34.09564726637643,36.0,6.0,0
10073,16,65.15517241379311,70.55043578512004,72.0,4.5,0
10073,45,100.0,100.0,64.0,1.4222222222222223,0
